i,k,old_q,old_q_ch_in,old_q_ch_out,qlat_ch_old
1,1,51.5784073,0.00000000,2.77117467,6.38383208E-05
1,2,51.5784073,2.77117467,5.56781006,6.38383208E-05
1,3,51.5784073,5.56781006,8.19925785,6.38383208E-05
1,4,51.5784073,8.19925785,11.4202843,6.38383208E-05
1,5,51.5784073,11.4202843,13.4346104,6.38383208E-05
1,6,51.5784073,13.4346104,16.7082558,6.38383208E-05
1,7,51.5784073,16.7082558,19.6584740,6.38383208E-05
1,8,51.5784073,19.6584740,23.0211029,6.38383208E-05
1,9,51.5784073,23.0211029,21.8466187,6.38383208E-05
1,10,51.5784073,21.8466187,31.5883255,6.38383208E-05
1,11,51.5784073,31.5883255,29.1538219,6.38383208E-05
1,12,51.5784073,29.1538219,31.3878174,6.38383208E-05
1,13,51.5784073,31.3878174,36.1692657,6.38383208E-05
1,14,51.5784073,36.1692657,45.1417923,6.38383208E-05
1,15,51.5784073,45.1417923,35.2004700,6.38383208E-05
1,16,51.5784073,35.2004700,43.0506821,6.38383208E-05
1,17,51.5784073,43.0506821,50.2105865,6.38383208E-05
1,18,51.5784073,50.2105865,50.2862320,6.38383208E-05
1,19,51.5784073,50.2862320,52.9870224,6.38383208E-05
1,20,51.5784073,52.9870224,51.5784073,6.38383208E-05
2,1,838.107056,0.00000000,42.2441025,1.69530045E-03
2,2,838.107056,42.2441025,83.9304428,1.69530045E-03
2,3,838.107056,83.9304428,125.576195,1.69530045E-03
2,4,838.107056,125.576195,168.316635,1.69530045E-03
2,5,838.107056,168.316635,211.299957,1.69530045E-03
2,6,838.107056,211.299957,253.435211,1.69530045E-03
2,7,838.107056,253.435211,294.586853,1.69530045E-03
2,8,838.107056,294.586853,335.445374,1.69530045E-03
2,9,838.107056,335.445374,376.836273,1.69530045E-03
2,10,838.107056,376.836273,419.176727,1.69530045E-03
2,11,838.107056,419.176727,462.330658,1.69530045E-03
2,12,838.107056,462.330658,505.781799,1.69530045E-03
2,13,838.107056,505.781799,548.929443,1.69530045E-03
2,14,838.107056,548.929443,591.342773,1.69530045E-03
2,15,838.107056,591.342773,632.891357,1.69530045E-03
2,16,838.107056,632.891357,673.748047,1.69530045E-03
2,17,838.107056,673.748047,714.290527,1.69530045E-03
2,18,838.107056,714.290527,754.966553,1.69530045E-03
2,19,838.107056,754.966553,796.161621,1.69530045E-03
2,20,838.107056,796.161621,838.107056,1.69530045E-03
3,1,0.00000000,0.00000000,0.00000000,-2.73115602E-05
